NewsType,Headline
অর্থনীতি ,‘২০ রোজার মধ্যে পাটকল শ্রমিকদের মজুরি দিন’
খেলাধুলা ,"‘২০০’ ডাকছে, তামিম রাঙাতে পারবেন তো?"
মতামত ,‘২০টি মডেল ভবন তৈরি করে দেখান’
বাংলাদেশ ,‘৬ মাসে ২০৮৩ নারী ও শিশু নির্যাতনের শিকার’
খেলাধুলা ,‘৯০ মাইল বেগে বল করলেই গ্রেট হওয়া যায় না’
বাংলাদেশ ,‘অধ্যক্ষ সিরাজকে আপত্তিকর অবস্থায় দেখা গেছে’
খেলাধুলা ,‘অননুমেয়’ পাকিস্তানে ভয় সৌরভ-শচীনের
বিনোদন ,"‘অনুরোধ, প্রযোজকের টাকা সঠিক খরচ করবেন’"
বিনোদন ,"‘অনেকে চিৎকার করছিলেন, বুবলী কই, বুবলী কই’"
খেলাধুলা ,‘অন্য কেউ থাকলে গোলের হ্যাটট্রিক করত’
বিনোদন ,‘অন্য’ কারিনা
খেলাধুলা ,‘অপয়া’ সাদা জার্সি যে কারণে ফিরিয়ে আনল ব্রাজিল
খেলাধুলা ,"‘অবিশ্বাস্য’ মাহমুদউল্লাহকেও ছাড়িয়ে, রথী-মহারথীদের পাশে সাকিব"
অর্থনীতি ,‘অবৈধ’ ৩৫ কোটি টাকা এমডির ব্যাংক হিসাবে
মতামত ,‘অর্থ’ ঢাললেই ফিলিস্তিন সংকটের সমাধান মিলবে না
মতামত ,‘অশ্রুজলে বিবর্ণ’ নুসরাত পরিবারে কবে ঈদ আসবে?
মতামত ,‘অ্যাভেঞ্জার্স: এন্ডগেম’ কি তবে নতুন শুরু?
বিনোদন ,‘আইটেম’ আবার কী!
খেলাধুলা ,‘আউটগুলো আমার নিয়ন্ত্রণে ছিল না’
বিজ্ঞান ও প্রযুক্তি,‘আগামী দিনের সাংবাদিকতা পুরোটাই হবে মোবাইল-নির্ভর’
বিনোদন ,‘আজ যেন শৈশবে ব্যাক করেছি’
মতামত ,‘আদর্শহীন নৈরাজ্য’-এ নিয়ন্ত্রণহীন তরুণেরা
জীবন যাপন,‘আপনার শরীরের ইশতেহার কী?’
জীবন যাপন,‘আব্বার মৃত্যুর সময় তামিমই ছিল পাশে’
বাংলাদেশ ,‘আমরণ অনশন করে ছাত্রলীগের পদ পাওয়া যাবে না’
খেলাধুলা ,"‘আমরা চারে নেই, এটাই দুঃখ’"
বিনোদন ,"‘আমাকে দেখে কাঁদলেন, হাসলেন’— পপি"
খেলাধুলা ,‘আমাদের বল তো এমনিই স্লো!’
বিনোদন ,‘আমার অনেক প্রথমের সঙ্গে রয়েছেন তাজিন আহমেদ’
খেলাধুলা ,‘আমার ছেলেদের কেউ খারাপ বলতে পারবেন না’
মতামত ,‘আমার সমালোচক আমার শত্রু’
মতামত ,‘আমি আলেকজান্দ্রিয়া ওকাসিও–করটেজ’
বিনোদন ,‘আমি কঙ্গনাকে ধর্ষণ করিনি’
বিনোদন ,‘আমি শুভমিতাদিকে চিনি না’
বিনোদন ,‘আর্টিকেল ফিফটিন’ নিষিদ্ধ?
বাংলাদেশ ,‘ইজ্জত হারাইয়া ফিরছি টেখাটা ফিরত চাই’
বাংলাদেশ ,‘ইনাম চৌধুরীর আ. লীগে জায়গা পাওয়া দুর্যোগের পূর্বাভাস’
মতামত ,‘উন্নয়ন’ জনগণকে কী দিচ্ছে বা দেবে
মতামত ,‘উন্নয়নের রাজনীতি’র সরল বয়ান
খেলাধুলা ,"‘এ কারণেই তারা খেলছে, আমরা বসে দেখছি’"
জীবন যাপন,‘এ’ গ্রেডের রেস্তোরাঁয় বাসি খাবার
শিক্ষা ,‘এ’ পেয়েছে সেই রফিকুল
খেলাধুলা ,‘এক ঢিলে তিন পাখি মারা’র অপেক্ষায় গেইল
মতামত ,‘একটা রুটি খেয়ে রোজা রাখা যায় না’
বাংলাদেশ ,"‘এত করে কলাম, আমারে মারিস না’"
শিক্ষা ,‘এত বই পৃথিবীর কোনো দেশ ছাপায় না’
বিনোদন ,‘এফডিসি থেকে সব আবর্জনা সরাতে চাই’
বিনোদন ,‘এবার আমার শুরু হবে’
অর্থনীতি ,‘এভিয়েশন সেফটি’ নিয়ে নভোএয়ারের সেমিনার
বিনোদন ,‘এমিলের গোয়েন্দা বাহিনী’র নির্মাতার চলে যাওয়ার দিন আজ
বাংলাদেশ ,"‘এসআই বলেন, তুমি নাটক করছ কেন?’"
খেলাধুলা ,"‘ওটা অন্য কেউ ছিল, আমি নই’"
বাংলাদেশ ,"‘ওঠ স্পিডবোটে, নয়তো এখানেই মরে পড়ে থাকবি’"
খেলাধুলা ,"‘ওরা ভারত, আমরা বাংলাদেশ—পার্থক্য এটাই’"
শিক্ষা ,‘ক’ও ‘চ’ ইউনিটের ভর্তি পরীক্ষার ফল প্রকাশ
বিনোদন ,‘কঙ্গনাকে ক্ষমা চাইতে হবে’
বাংলাদেশ ,‘কার্যকারিতা হারাচ্ছে অ্যান্টিবায়োটিক’
খেলাধুলা ,‘কার্লোস ব্রাফেট’ মনে রাখার মতো এক নাম
বিনোদন ,‘কালো’ মেয়েটা এবার হবে জেমস বন্ড
অর্থনীতি ,‘কালো’ স্বর্ণ এখনো বাকি
অর্থনীতি ,‘কালোটাকা’ বলা ঠিক না: বাণিজ্যমন্ত্রী
বাংলাদেশ ,"‘কিন্তু পশুটা ঘরের মধ্যেই ছিল, তা কে জানত...’"
মতামত ,‘কেরালা মডেল’ থেকে শিখতে পারি
খেলাধুলা ,‘কোহলির ধমকে’র জবাব দিলেন রবি শাস্ত্রী?
খেলাধুলা ,‘কোহলির ভুলই করেছেন সরফরাজ’
খেলাধুলা ,‘ক্রিকেট কোচ’ হয়ে যাচ্ছেন জেমি ডে!
খেলাধুলা ,‘ক্রিকেটের অমর বুড়ো’র সঙ্গে যেখানে দেখা!
শিক্ষা ,‘খ’ ইউনিটের ফল সোমবার
অর্থনীতি ,"‘খরচই উঠছে না, মুখে হাসি থাকবে কোথা থেকে?’"
বাংলাদেশ ,‘খাটের নিচ থেকে লাশ নিয়া দাফন কইরো’
অর্থনীতি ,‘খেলাপি ঋণের কারণেই সুদের হার বেশি’
শিক্ষা ,‘গ’ ইউনিটে পাসের হার ১৪.৭৫
শিক্ষা ,‘গতানুগতিক কোনো শিল্প নয় আবৃত্তি’
খেলাধুলা ,"‘গুলবদিন হয় গর্দভ, নয় ম্যাচ পাতিয়েছে’"
বাংলাদেশ ,‘গেম’-এর নামে মৃত্যুর মুখে
বাংলাদেশ ,‘গেমঘরে’ পাঁচজনের জন্য এক থালা ভাত
বাংলাদেশ ,‘গ্যাংয়ের’ সঙ্গে দ্বন্দ্বে কিশোর খুন!
বাংলাদেশ ,‘গ্যাসের দাম বাড়ানো অর্থনীতির জন্য ইতিবাচক’
বাংলাদেশ ,‘গ্যাসের দাম বাড়িয়ে জনগণকে জিম্মি করছে সরকার’
বাংলাদেশ ,‘গ্রামের নাম চট্টগ্রাম’
খেলাধুলা ,"‘ঘরে’ ফিরতে চান নেইমার, টিকিট কিনে দেবে বার্সেলোনা?"
শিক্ষা ,‘চ’ ইউনিটের ভর্তি পরীক্ষার ফল প্রকাশ
অর্থনীতি ,‘চরবৃত্তি নয়’ চুক্তি করতে ইচ্ছুক হুয়াওয়ে
বাংলাদেশ ,‘চাকরির বয়স ৩৫ বছর না হলে দুর্বার আন্দোলন’
বিনোদন ,‘চারদিকে লাল–সবুজ পতাকা উড়ছে’
বিনোদন ,‘চিকনি চামেলি’র মতো কিছু আর করতে চাই না: ক্যাটরিনা
জীবন যাপন,‘চিকেন ডে’ উদযাপন করল কেএফসি
শিক্ষা ,‘ছাত্রস্বার্থ পরিপন্থী’ বাজেট বাতিলের দাবি
বাংলাদেশ ,‘ছিনতাইকারী’ ছেলের বিরুদ্ধে মায়ের মামলা
বিনোদন ,‘ছুটির ঘণ্টা’র ঘটনা ঘটেছিল ঈদের ছুটিতে
বাংলাদেশ ,‘ছেলেধরা’ গুজবে আতঙ্ক
বাংলাদেশ ,‘ছেলের লাশ পেলেও মাথাটা এখনো পাইনি’
বিনোদন ,‘ছোট ভাই’ রোহিতের জন্য সালমানের শুভকামনা
বিজ্ঞান ও প্রযুক্তি,‘জাকারবার্গের প্রতিশ্রুতি লোক–দেখানো’
মতামত ,‘জাহাজ বাড়ি’ ভেঙে ফেলা
খেলাধুলা ,‘টিম ব্রাজিল’–এ চ্যাম্পিয়ন ব্রাজিল
বিজ্ঞান ও প্রযুক্তি,‘টেন ইয়ার চ্যালেঞ্জ’ কি ফাঁদ?
খেলাধুলা ,‘টেস্ট খেলে’ ঠিকই করেছেন ধোনি
বিজ্ঞান ও প্রযুক্তি,‘ডিজিটাল বিপ্লবে বাংলাদেশ অনেক এগিয়ে’
খেলাধুলা ,‘ডেথ ওভারে’ ভারতের সঙ্গে কীভাবে পাল্লা দেবে বাংলাদেশ?
বিনোদন ,‘ঢাকা অ্যাটাক’-এর পর ‘অপারেশন সুন্দরবন’
খেলাধুলা ,‘তিন মোড়ল’-এর প্রতিপত্তি এতটুকু কমেনি
বিনোদন ,"‘তিনিই জীবিত কবি, যাঁকে নিয়ে তর্ক হয়’"
বিনোদন ,‘তুমি সব সময় সবচেয়ে সুন্দর’
খেলাধুলা ,"‘থ্যাংক ইউ স্যার’, প্রিয় গুরুকে সাকিব"
খেলাধুলা ,‘দুর্নীতির অংশ’ হবেন না বলে পদকও নেননি মেসি!
অর্থনীতি ,‘দেশীয় শিল্প রক্ষায় সব ধরনের সহায়তা দেওয়া হবে’
বিজ্ঞান ও প্রযুক্তি,‘দেশের উদ্যোক্তাদের জন্য বৈশ্বিক প্ল্যাটফর্ম জরুরি’
বিনোদন ,‘দ্য লায়ন কিং’ ছবিতে শাহরুখ ও আরিয়ান
বাংলাদেশ ,‘ধর ধর’ বলে প্রবীণ অধ্যাপকের গায়ে কেরোসিন ঢাললেন শিক্ষার্থী
মতামত ,‘ধর্ষণের অভিযোগ মামলায় নেই কেন?’
খেলাধুলা ,‘ধীরে চলো’ নীতিতে এগোচ্ছে অস্ট্রেলিয়া
অর্থনীতি ,‘নগদ’ সার্ভিস উদ্বোধন করলেন প্রধানমন্ত্রী
বাংলাদেশ ,"‘নজরদারিতে প্রিন্ট, ইলেকট্রনিক ও অনলাইন মাধ্যম’"
বিনোদন ,‘নজরুল ও বঙ্গবন্ধু উভয়েই শোষিতের পক্ষে ছিলেন’
বিনোদন ,‘নজরুল স্মৃতিকক্ষ’ খুলছে আবার
অর্থনীতি ,‘নতুন ভ্যাট আইনটি ভালো’
জীবন যাপন,‘নববর্ষ হোক নিরাপদ’ কুইজে অংশ নেওয়ার সুযোগ
বিনোদন ,‘নয়ন রহস্য’ থেকে আগে ছবি তৈরি হয়নি: আহমেদ রুবেল
বিনোদন ,‘না’ বলতে পারেন না জ্যাকুলিন
অর্থনীতি ,"‘নারীর প্রজনন স্বাস্থ্যের সুরক্ষা, নারীর অধিকার’ শীর্ষক সমাবেশ অনুষ্ঠিত"
বিনোদন ,‘নিত‍্যপুরাণ’–এর বর্ণিল শততম প্রদর্শনী
বিনোদন ,‘নিয়নে’র প্রেমে সোনাক্ষী
অর্থনীতি ,‘নিয়ন্ত্রণহীন’ বাজারে দরপতন
শিক্ষা ,‘নিরিখ’ আন্তর্জাতিক সাহিত্য সম্মেলন সমাপ্ত
খেলাধুলা ,‘নির্বোধ’ ভনের কথাই সত্যি হচ্ছে!
খেলাধুলা ,‘নেইমারের নেতৃত্ব কেড়ে ঠিক কাজ করেছে ব্রাজিল’
বিনোদন ,‘পদ্মশ্রী’ নিয়ে বিব্রত সাইফ
খেলাধুলা ,‘পাকিস্তানকে কে কোণঠাসা করল ভাই?’
খেলাধুলা ,‘পাকিস্তানের ফিল্ডিং রাবিশ’
বিনোদন ,‘পাগল মন’ পাগল করেছে!
খেলাধুলা ,‘পাটা’ উইকেট না পেয়ে অভিযোগ করল শ্রীলঙ্কা
শিক্ষা ,‘পাবলিক পরীক্ষা যত কম হয় ততই মঙ্গল’
বিজ্ঞান ও প্রযুক্তি,‘প্রাইভেসি শুধু বড়লোকের নয়’
বাংলাদেশ ,‘প্রেমের প্রস্তাবে রাজি না হওয়ায়’ কলেজছাত্রীকে জখম
